index	prompt	ideal_response	assignment
69	"For the genus species Chlamydomonas sp., please find the reported protein % dry mass, trophic mechanism, reported substrate and substrate class, from the following paper(s).

Please give your answer in a concise ""reported protein % dry mass: [answer], trophic mechanism: [answer], reported substrate: [answer], substrate class: [answer]"" format.

If the information cannot be found, then please respond with: ""The literature provided does not contain the requested information, for the microbial species specified.""

Find the information from the PDF text of the following paper(s):

(Content of paper redacted, as it may be private. Please find paper according to supplementary materials of Piercy et al. (2023), if you wish to build this prompt.)"	The literature provided does not contain the requested information, for the microbial species specified.	train
21	"For the genus species Cupriavidus necator, please find the reported protein % dry mass, trophic mechanism, reported substrate and substrate class, from the following paper(s).

Please give your answer in a concise ""reported protein % dry mass: [answer], trophic mechanism: [answer], reported substrate: [answer], substrate class: [answer]"" format.

If the information cannot be found, then please respond with: ""The literature provided does not contain the requested information, for the microbial species specified.""

Find the information from the PDF text of the following paper(s):

(Content of paper redacted, as it may be private. Please find paper according to supplementary materials of Piercy et al. (2023), if you wish to build this prompt.)"	The literature provided does not contain the requested information, for the microbial species specified.	train
71	"For the genus species Chlorella pyrenoidosa, please find the reported protein % dry mass, trophic mechanism, reported substrate and substrate class, from the following paper(s).

Please give your answer in a concise ""reported protein % dry mass: [answer], trophic mechanism: [answer], reported substrate: [answer], substrate class: [answer]"" format.

If the information cannot be found, then please respond with: ""The literature provided does not contain the requested information, for the microbial species specified.""

Find the information from the PDF text of the following paper(s):

(Content of paper redacted, as it may be private. Please find paper according to supplementary materials of Piercy et al. (2023), if you wish to build this prompt.)"	The literature provided does not contain the requested information, for the microbial species specified.	train
72	"For the genus species Chlorella sorokiniana, please find the reported protein % dry mass, trophic mechanism, reported substrate and substrate class, from the following paper(s).

Please give your answer in a concise ""reported protein % dry mass: [answer], trophic mechanism: [answer], reported substrate: [answer], substrate class: [answer]"" format.

If the information cannot be found, then please respond with: ""The literature provided does not contain the requested information, for the microbial species specified.""

Find the information from the PDF text of the following paper(s):

(Content of paper redacted, as it may be private. Please find paper according to supplementary materials of Piercy et al. (2023), if you wish to build this prompt.)"	The literature provided does not contain the requested information, for the microbial species specified.	train
0	"For the genus species Aspergillus niger, please find the reported protein % dry mass, trophic mechanism, reported substrate and substrate class, from the following paper(s).

Please give your answer in a concise ""reported protein % dry mass: [answer], trophic mechanism: [answer], reported substrate: [answer], substrate class: [answer]"" format.

If the information cannot be found, then please respond with: ""The literature provided does not contain the requested information, for the microbial species specified.""

Find the information from the PDF text of the following paper(s):

(Content of paper redacted, as it may be private. Please find paper according to supplementary materials of Piercy et al. (2023), if you wish to build this prompt.)"	The literature provided does not contain the requested information, for the microbial species specified.	train
25	"For the genus species Methylomonas methylotrophus, please find the reported protein % dry mass, trophic mechanism, reported substrate and substrate class, from the following paper(s).

Please give your answer in a concise ""reported protein % dry mass: [answer], trophic mechanism: [answer], reported substrate: [answer], substrate class: [answer]"" format.

If the information cannot be found, then please respond with: ""The literature provided does not contain the requested information, for the microbial species specified.""

Find the information from the PDF text of the following paper(s):

(Content of paper redacted, as it may be private. Please find paper according to supplementary materials of Piercy et al. (2023), if you wish to build this prompt.)"	The literature provided does not contain the requested information, for the microbial species specified.	train
37	"For the genus species Haloarcula sp. IRU1, please find the reported protein % dry mass, trophic mechanism, reported substrate and substrate class, from the following paper(s).

Please give your answer in a concise ""reported protein % dry mass: [answer], trophic mechanism: [answer], reported substrate: [answer], substrate class: [answer]"" format.

If the information cannot be found, then please respond with: ""The literature provided does not contain the requested information, for the microbial species specified.""

Find the information from the PDF text of the following paper(s):

(Content of paper redacted, as it may be private. Please find paper according to supplementary materials of Piercy et al. (2023), if you wish to build this prompt.)"	The literature provided does not contain the requested information, for the microbial species specified.	val
38	"For the genus species Yarrowia lipolytica, please find the reported protein % dry mass, trophic mechanism, reported substrate and substrate class, from the following paper(s).

Please give your answer in a concise ""reported protein % dry mass: [answer], trophic mechanism: [answer], reported substrate: [answer], substrate class: [answer]"" format.

If the information cannot be found, then please respond with: ""The literature provided does not contain the requested information, for the microbial species specified.""

Find the information from the PDF text of the following paper(s):

(Content of paper redacted, as it may be private. Please find paper according to supplementary materials of Piercy et al. (2023), if you wish to build this prompt.)"	The literature provided does not contain the requested information, for the microbial species specified.	train
11	"For the genus species Acromobacter sp., please find the reported protein % dry mass, trophic mechanism, reported substrate and substrate class, from the following paper(s).

Please give your answer in a concise ""reported protein % dry mass: [answer], trophic mechanism: [answer], reported substrate: [answer], substrate class: [answer]"" format.

If the information cannot be found, then please respond with: ""The literature provided does not contain the requested information, for the microbial species specified.""

Find the information from the PDF text of the following paper(s):

(Content of paper redacted, as it may be private. Please find paper according to supplementary materials of Piercy et al. (2023), if you wish to build this prompt.)"	The literature provided does not contain the requested information, for the microbial species specified.	train
41	"For the genus species Aspergillus niger, please find the reported protein % dry mass, trophic mechanism, reported substrate and substrate class, from the following paper(s).

Please give your answer in a concise ""reported protein % dry mass: [answer], trophic mechanism: [answer], reported substrate: [answer], substrate class: [answer]"" format.

If the information cannot be found, then please respond with: ""The literature provided does not contain the requested information, for the microbial species specified.""

Find the information from the PDF text of the following paper(s):

(Content of paper redacted, as it may be private. Please find paper according to supplementary materials of Piercy et al. (2023), if you wish to build this prompt.)"	The literature provided does not contain the requested information, for the microbial species specified.	train
